Title,Original Title,Country,Translated Language,Author,Author Name,Translator,Translation and Publication Support,Publisher,Published Year,Classification,ISBN,Rating Count,Rating,Price,Price Source
Cent ombres,백의 그림자,FRANCE,French(Français),Hwang Jungeun,황정은,"Han Guka,Samy Langeraert",Y,Editions Verdier,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Romance,9782378561406,1697.0,3.53,5.59,Kindle
المتآمرون,설계자들,EGYPT,Arabic(اللغة العربية),كيم أون سو,김언수,محمد نجيب,Y,المحروسة للنشر والمعلومات الصحفية والبحوث,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789773139049,7085.0,3.57,12.99,Kindle
جريمة الابن الصالح,종의 기원,EGYPT,Arabic(اللغة العربية),جونج يو جونج,정유정,محمد نجيب,Y,Al Arabi Publishing and Distributing,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Detective >  Adventure,9789773196653,15434.0,3.75,11.99,Kindle
Lines,선,UNITED STATES,English(English),Suzy Lee,이수지,nan,N,Chronicle Books,2017,KDC구분 > literature > Korean Literature > Children and Adolescents,9781452156651,758.0,3.78,12.15,Kindle
En el zoológico,동물원,MEXICO,Spanish(Español),Suzy Lee,이수지,Hye Kyung Kim,N,Fondo de Cultura Economica,2015,KDC구분 > literature > Korean Literature > Children and Adolescents,9781933605289,292.0,3.86,5.99,Kindle
La ola,파도야 놀자,SPAIN,Spanish(Español),Suzy Lee,이수지,nan,N,Barbara Fiore Editora,2008,KDC구분 > literature > Korean Literature > Children and Adolescents,9788493618544,3580.0,4.26,-1.0,N/A
Storia di Suk’yang e Storia della giovane Sugyŏng,숙향전·숙영낭자전,ITALY,Italian(Italiano),Lee Sang-Gu,이상구,Mary Lou Emberti Gialloreti,Y,MIM Edizioni Srl,2021,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9788857582108,0.0,0.0,18.99,Kindle
Korean Teachers,코리안 티처,SINGAPORE,English(English),Seo Su-Jin,서수진,Lizzie Buehler,Y,Harriett Press,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789811831973,92.0,3.84,-1.0,N/A
Sobre mi hija,딸에 대하여,ARGENTINA,Spanish(Español),Kim Hye-jin,김혜진,"Irma Zyanya Gil Yáñez,Minjeong Jeong",Y,Fiordo editorial,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789874178589,10328.0,3.7,9.99,Kindle
Lの運動靴,L의 운동화,JAPAN,Japanese(日本語),キム・スム,김숨,中野宣子,N,アストラハウス,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784908184345,-1.0,-1.0,-1.0,N/A
"Kim Jiyoung , Nascida Em 1982",82년생 김지영,BRAZIL,Portuguese(Português),Cho Nam-joo,조남주,Alessandra Esteche,N,Intrínseca,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786555604924,172121.0,4.17,6.15,Kindle
Dämmerstunde,해질 무렵,GERMANY,German(Deutsch),Sok-yong Hwang,황석영,Andreas Schirmer,Y,Europa,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9783958903050,1973.0,3.68,18.99,Kindle
Pachinko,Pachinko,BRAZIL,Portuguese(Português),Min Jin Lee,이민진,Marina Vargas,N,Intrínseca,2020,KDC구분 > literature > English and American literatures,9788551006344,552684.0,4.34,9.99,Kindle
La Torre,타워,ITALY,Italian(Italiano),Bae Myung-hoon,배명훈,Lia Iovenitti,Y,Add Editore,2022,"KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual)
KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy",9788867833542,1198.0,3.63,10.99,Kindle
El idiota de mi tio,채만식 선집,SPAIN,Spanish(Español),Chae Mansik,채만식,Álvaro Trigo Maldonado,Y,Lib ros de la Ballena,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9788483448366,75.0,3.37,-1.0,N/A
Dunkst dunkst tankiai plakantis mano gyvenimas,두근두근 내 인생,LITHUANIA,Lithuanian(Lietuvių kalba),Ae-ran Kim,김애란,Martynas Šiaučiūnas-Kačinskas,N,Baltų lankų,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786094796036,2600.0,3.99,11.99,Kindle
Về Nhà Với Mẹ,딸에 대하여,VIET NAM,Vietnamese(Tiếng Việt),Kim Hye-jin,김혜진,Bích Ngọc,N,Nhã Nam,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,8935235226593,-1.0,-1.0,-1.0,N/A
極めて私的な超能力,지극히 사적인 초능력,JAPAN,Japanese(日本語),チャン ガンミョン,장강명,吉良 佳奈江,Y,早川書房,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9784153350571,-1.0,-1.0,-1.0,N/A
Cevapsiz Mektuplar,아무도 편지하지 않다,TURKIYE,Turkish(Türkçe),Jang Eun-jin,장은진,Tayfun Kartav,Y,Mavi Ağaç Kültür Sanat Yayıncılık Tic. Ltd. Şti.,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9786258498332,5272.0,4.18,-1.0,N/A
Жуда маъюссан,너무도 쓸쓸한 당신,UZBEKISTAN,Uzbek(o'zbek),Пак Ван Со,박완서,Санъат Тажимуратов,Y,Ғафур Ғулом,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9789943645417,-1.0,-1.0,-1.0,N/A
A proposito di mia figlia,딸에 대하여,ITALY,Italian(Italiano),Kim Hye-jin,김혜진,Lia Iovenitti,Y,MONDADORI LIBRI,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788804744658,10328.0,3.7,10.99,Kindle
ĐƯỜNG HẦM,터널,VIET NAM,Vietnamese(Tiếng Việt),So Jae Won,소재원,Nguyen Thi Hong Ha,Y,Nhã Nam,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786043552942,-1.0,-1.0,-1.0,N/A
Gwangju Uprising,죽음을 넘어 시대의 어둠을 넘어,UNITED STATES,English(English),"Hwang Sok-yong,Lee Jae-eui,Jeo","황석영,이재의,전용",Slin Jung,Y,Verso Books,2022,KDC구분 > History > Asia > Korea,9781788737142,45.0,4.24,9.99,Kindle
Nos sale bien pedir perdon,사과는 잘해요,ARGENTINA,Spanish(Español),Lee Kiho,이기호,Alvaro Trigo Maldonado,Y,Hwarang Editorial,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789878835860,759.0,3.56,-1.0,N/A
Homodominans,호모도미난스,TURKIYE,Turkish(Türkçe),Chang Kang Myoung,장강명,Tayfun Kartav,Y,DEX KİTAP,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786258021707,12.0,2.58,-1.0,N/A
Suzy Lee Sınır Üçlemesi,이수지의 그림책,TURKIYE,Turkish(Türkçe),Suzy Lee,이수지,Betül Tınkılıç,Y,MEAV Gayrimenkul A.Ş,2022,KDC구분 > Arts,9786057112545,3.0,4.67,-1.0,N/A
UN`ALTRA DONNA,다른 사람,ITALY,Italian(Italiano),Kang Hwa-gil,강화길,"Mary Lou Emberti Gialloreti,HEE SUN MOON",Y,Elliot Edizioni,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9788892761285,302.0,3.73,12.99,Kindle
"Кім Джійон, 1982 року народження",82년생 김지영,UKRAINE,Ukrainian(Українська),Чо Нам-Джу,조남주,"lлестакgва Ольга,Джан Йожжiн",Y,Видавництво,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786177654819,172121.0,4.17,8.09,Kindle
Kadın Manzaraları,강경애 단편집,TURKIYE,Turkish(Türkçe),Kang kyung-ae,강경애,N. Sezen Güler,Y,Fihrist Kitap,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9786257599542,9.0,2.44,-1.0,N/A
本当に大切な君だから,(있는 그대로) 참 소중한 너라서,JAPAN,Japanese(日本語),キム・ジフン,김지훈,呉 永雅,N,かんき出版,2022,KDC구분 > literature > Korean Literature > Essay > 21st century,9784761275884,-1.0,-1.0,-1.0,N/A
ワタリガニの墓,꽃게 무덤 외,JAPAN,Japanese(日本語),"クォン・ジエ,ハ・ソンナン,チョン・ハナ,キム・ミウォル,ク","권지예,하성란,정한",金明順,N,クオン,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784910214238,-1.0,-1.0,-1.0,N/A
アンニョン、大切な人。,"안녕, 소중한 사람",JAPAN,Japanese(日本語),チョン・ハンギョン,정한경,黒河 星子,N,かんき出版,2022,KDC구분 > literature > Korean Literature > Essay > 21st century,9784761276133,-1.0,-1.0,-1.0,N/A
เดอะเฮเวน คาเฟ่สำหรับผู้ที่โหยหาความตาย,지금 죽으러 갑니다,THAILAND,Thai(ภาษาไทย),ชองแฮยอน,정해연,นัชชา กัมภูสิริพงษ์,N,Piccolo,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Mystery >  Thriller >  Horror,9786161846664,164.0,3.94,-1.0,N/A
La secte des suicidés,지금 죽으러 갑니다,FRANCE,French(Français),Jeong Hai-yeon,정해연,"Han Yumi,Hervé Péjaudier",N,Matin Calme,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Mystery >  Thriller >  Horror,9782493386069,164.0,3.94,-1.0,N/A
Memory Bookstore,기억 서점,INDONESIA,Indonesian(Bahasa Indonesia),Choung Myung Seob,정명섭,Dwita Rizki Nientyas,Y,PT. Bentara Aksara Cahaya,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Mystery >  Thriller >  Horror,9786026486691,252.0,3.84,-1.0,N/A
دنیا از چشم کلاغ,이상 시선집 (오감도 외),IRAN,Persian(فارسی),ای سنگ,이상,"Inja Hong,سعیدرضا اتحادی",Y,Parande Publication Co.,2022,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual),9786008955795,-1.0,-1.0,-1.0,N/A
さすらう地,떠도는 땅,JAPAN,Japanese(日本語),キム・スム,김숨,岡裕美,Y,新泉社,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Historical >  Biographical >  Political >  Social,9784787722218,-1.0,-1.0,-1.0,N/A
ปริซึม สีของความรู้สึก,프리즘,THAILAND,Thai(ภาษาไทย),ซน ว็อนพย็อง,손원평,วิทิยา จันทร์พันธ์,N,Piccolo,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Romance,9786161848903,57.0,3.46,-1.0,N/A
ร้านไม่สะดวกซื้อของคุณทกโก,불편한 편의점,THAILAND,Thai(ภาษาไทย),คิมโฮย็อน,김호연,มินตรา อินทรารัตน์,N,Piccolo,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786161848859,8027.0,3.95,11.99,Kindle
ร้านขนมอบเวทมนตร์,위저드 베이커리,THAILAND,Thai(ภาษาไทย),คูพยองโม,구병모,ตรองสิริ ทองคำใส,N,เอิร์นเนสต์,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786167691763,3728.0,3.95,-1.0,N/A
ฉันไม่เป็นไรจริงๆ ใช่ไหม,"있잖아, 누구씨",THAILAND,Thai(ภาษาไทย),ชองมีจิน,정미진,วิทิยา จันทร์พันธ์,N,Piccolo,2022,KDC구분 > literature > Korean Literature > Children and Adolescents,9786161847715,34.0,4.0,-1.0,N/A
ฉันจะข้ามเวลาไปหาเธอ,세계를 건너 너에게 갈게,THAILAND,Thai(ภาษาไทย),อีกดนิม,이꽃님,ฑิตยา ปิยภัณฑ์,N,Piccolo,2022,KDC구분 > literature > Korean Literature > Children and Adolescents,9786161846831,282.0,4.3,7.99,Kindle
Пересеку время ради тебя,세계를 건너 너에게 갈게,RUSSIAN FEDERATION,Russian(Русский),Ли Кконним,이꽃님,Кузина Софья,Y,АСТ Мейнстрим,2022,KDC구분 > literature > Korean Literature > Children and Adolescents,9785171479107,282.0,4.3,7.99,Kindle
Things Left Behind,떠난 후에 남겨진 것들,INDONESIA,Indonesian(Bahasa Indonesia),"Kim Sae-byoul,Jeon Ae Won","김새별,전애원",Anna Lee,N,Gramedia Pustaka Utama,2021,KDC구분 > literature > Korean Literature > Essay > 21st century,9786020657516,1353.0,4.4,-1.0,N/A
ร้านขายเวลา,시간을 파는 상점,THAILAND,Thai(ภาษาไทย),คิมซ็อนย็อง,김선영,สุมาลี สูนจันทร์,N,Piccolo,2021,KDC구분 > literature > Korean Literature > Children and Adolescents,9786161846244,255.0,3.11,-1.0,N/A
มีใครบางคนหวังให้เธอมีชีวิตที่ดี,행운이 너에게 다가오는 중,THAILAND,Thai(ภาษาไทย),อีกดนิม,이꽃님,วนิดา คราวเหมาะ,N,Piccolo,2021,KDC구분 > literature > Korean Literature > Children and Adolescents,9786161845643,140.0,4.3,-1.0,N/A
The Plotters,설계자들,INDONESIA,Indonesian(Bahasa Indonesia),Kim Un-su,김언수,Ingrid Dwijani Nimpoeno,N,Noura Books,2020,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786232421196,7085.0,3.57,12.99,Kindle
Bone,뼈,INDONESIA,Indonesian(Bahasa Indonesia),Mijin Jung,정미진,Hyacinta Louisa,N,Haru,2020,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Mystery >  Thriller >  Horror,9786237351283,131.0,3.56,-1.0,N/A
Tappajat,설계자들,FINLAND,Finnish(Suomi),Un-su Kim,김언수,Katariina Laurila,N,Like Kustannus,2019,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789520118938,7085.0,3.57,12.99,Kindle
The Impossible Fairytale,불가능한 동화,AUSTRALIA,English(English),Han Yujoo,한유주,Janet Hong,N,Brow Books,2018,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9781925704075,842.0,3.26,12.99,Kindle
The Impossible Fairy Tale,불가능한 동화,INDIA,English(English),Han Yujoo,한유주,Janet Hong,N,Speaking Tiger Books,2018,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789388070140,842.0,3.26,12.99,Kindle
Happiness Battle,행복배틀,INDONESIA,Indonesian(Bahasa Indonesia),Joo Young-ha,주영하,Iingliana Tan,N,Gramedia Pustaka Utama,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Mystery >  Thriller >  Horror,9786020658001,702.0,3.85,-1.0,N/A
Plus heureuse que moi tu meurs,행복배틀,FRANCE,French(Français),Joo Young-ha,주영하,"KOO MODUK,Cécilia Castelli",N,Matin Calme,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Mystery >  Thriller >  Horror,9782493386090,702.0,3.85,-1.0,N/A
C&apos;est pour mieux te manger,빨간 모자,FRANCE,French(Français),Kim Jiyeon,김지연,"E.J. Lee,Anne Berthellemy",N,Matin Calme,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Mystery >  Thriller >  Horror,9782493386007,15.0,3.0,-1.0,N/A
Mortel Motel,정신자살,FRANCE,French(Français),Do Jinki,도진기,"Lim Yeong-Hee,Mathilde Colo",Y,Matin Calme,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Mystery >  Thriller >  Horror,9782493386038,4.0,3.25,-1.0,N/A
白い船,하얀 배,JAPAN,Japanese(日本語),ユンフミョン,윤후명,東峰直子,Y,クオン,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9784910214351,-1.0,-1.0,-1.0,N/A
モーメント・アーケード,제4회 한국과학문학상 수상작품집,JAPAN,Japanese(日本語),ファン・モガ,황모과,廣岡孝弥,Y,クオン,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9784910214368,-1.0,-1.0,-1.0,N/A
僕の狂ったフェミ彼女,나의 미친 페미니스트 여자친구,JAPAN,Japanese(日本語),ミン・ジヒョン,민지형,加藤 慧,N,イースト・プレス,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784781620633,20.0,3.85,-1.0,N/A
ピヤキのママ,삐약이 엄마,JAPAN,Japanese(日本語),ペク・ヒナ,백희나,長谷川義史,N,ブロンズ新社,2022,KDC구분 > literature > Korean Literature > Children and Adolescents,9784893097064,-1.0,-1.0,-1.0,N/A
La saison des pluies,개,FRANCE,French(Français),Keum Suk Gendry-Kim,김금숙,Loïc Gendry,N,Futuropolis,2022,KDC구분 > literature > Korean Literature,9782754831864,1276.0,3.87,22.99,Kindle
Shine,샤인,INDONESIA,Indonesian(Bahasa Indonesia),Jessica Jung,제시카 정,Iingliana Tan,N,Gramedia Pustaka Utama,2020,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786020645667,7962.0,3.4,-1.0,N/A
夜よ、ひらけ,"밤이여, 나뉘어라",JAPAN,Japanese(日本語),チョン・ミギョン,정미경,きむ ふな,Y,クオン,2018,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784904855768,0.0,0.0,-1.0,N/A
風船を買った,풍선을 샀어,JAPAN,Japanese(日本語),チョ・ギョンナン,조경란,吳永雅,Y,クオン,2018,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784904855775,0.0,0.0,-1.0,N/A
遠足,두번의 자화상,JAPAN,Japanese(日本語),チョン・ソンテ,전성태,小山内 園子,Y,クオン,2018,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784904855782,0.0,0.0,-1.0,N/A
あの夏の修辞法,사랑을 믿다,JAPAN,Japanese(日本語),ハ・ソンナン,하성란,牧瀬 暁子,Y,クオン,2018,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784904855799,0.0,0.0,-1.0,N/A
原州通信,갈팡질팡 하다가 내 이럴 줄 알았지,JAPAN,Japanese(日本語),イ・ギホ,이기호,清水 知佐子,Y,クオン,2018,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784904855805,0.0,0.0,-1.0,N/A
あの人ひとりが この世のすべてだった頃,끝까지 남겨두는 그 마음,JAPAN,Japanese(日本語),ナ・テジュ,나태주,藤田 麗子,N,KADOKAWA,2022,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9784046810076,-1.0,-1.0,-1.0,N/A
世の中に悪い人はいない,세상에 나쁜 사람은 없다,JAPAN,Japanese(日本語),ウォン・ジェフン,원재훈,岡崎 暢子,N,KADOKAWA,2022,"KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual)
KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story",9784046812728,-1.0,-1.0,-1.0,N/A
ある日、僕が死にました,어느 날 내가 죽었습니다,JAPAN,Japanese(日本語),イ・ギョンヘ,이경혜,小笠原 藤子,N,KADOKAWA,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9784046813015,0.0,0.0,-1.0,N/A
"Κιμ Τζιγιάνγκ, Γεννημένη το 1982",82년생 김지영,GREECE,Greek(Ελληνική),ΝΑΜ-ΤΖΟΥ ΤΣΟ,조남주,Αλεξάνδρα Κονταξάκη,N,εκδόσεις MINΩAΣ,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786180218312,172121.0,4.17,8.09,Kindle
"Kim Džijongė, gimusi 1982",82년생 김지영,LITHUANIA,Lithuanian(Lietuvių kalba),Cho Nam-joo,조남주,Martynas Šiaučiūnas-Kačinskas,N,Baltos lankos,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786094794209,172121.0,4.17,8.09,Kindle
いいから、あなたの話をしなよ,대한민국 페미니스트의 고백,JAPAN,Japanese(日本語),"キム・ソヨン,チェ・ナロ,アン・ヒョンジン,イ・セア,ホン・","김서영,최나로,안현",大島 史子,Y,アジュマブックス,2022,KDC구분 > literature > Korean Literature > Essay,9784910276045,-1.0,-1.0,-1.0,N/A
Solo las mujeres desaparecen,사라지는 건 여자들뿐이거든요,ARGENTINA,Spanish(Español),"Kang Hwagil,Son Bo-mi,Lim Sola","강화길,손보미,임솔","Sunme Yoon,Nicolás Braessas,Park Jeonghyo,Lucía Yamila Fernández Lucero,Sookkyeom Kim,Sosa Rivero Carlos Pedro",Y,Hwarang Editorial,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9789878843278,131.0,3.49,-1.0,N/A
Tętniące życie,두근두근 내 인생,POLAND,Polish(Polski),Kim Ae-ran,김애란,Lukasz Janik,Y,Kwiaty Orientu,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788366658196,2600.0,3.99,11.99,Kindle
Rüya Dükkânı 1,달러구트 꿈 백화점,TURKIYE,Turkish(Türkçe),Mi-ye Lee,이미예,Tayfun Kartav,Y,Peta Kitap,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786257232302,27821.0,3.69,-1.0,N/A
Please Look After Mother,엄마를 부탁해,UNITED KINGDOM,English(English),Kyung-Sook Shin,신경숙,Chi-Young Kim,N,Weidenfeld   Nicolson,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9781474621687,45473.0,3.91,13.99,Kindle
Pachinko,Pachinko,INDONESIA,Indonesian(Bahasa Indonesia),Min Jin Lee,이민진,Angelic Zaizai,N,Gramedia Pustaka Utama,2022,KDC구분 > literature > English and American literatures,9786020660554,-1.0,-1.0,-1.0,N/A
Aku Ingin Pulang Meski Sudah Drumah,집에 있는데도 집에 가고 싶어,INDONESIA,Indonesian(Bahasa Indonesia),Kwon Rabin,권라빈,Dewi Ayu Ambar Rani,N,Haru,2021,KDC구분 > literature > Korean Literature > Essay > 21st century,9786237351825,384.0,3.84,-1.0,N/A
Every Day is A Sunny Day When I Am with You,구름 껴도 맑음,INDONESIA,Indonesian(Bahasa Indonesia),Bae Sung Tae,배성태,Listya Ayunita Wardadie,N,Gramedia Pustaka Utama,2021,KDC구분 > literature > Korean Literature > Essay > 21st century,9786020651842,63.0,4.4,-1.0,N/A
Please Look After Mother,엄마를 부탁해,UNITED KINGDOM,English(English),Kyung-Sook Shin,신경숙,Chi-Young Kim,N,Weidenfeld   Nicolson,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9780753828182,45473.0,3.91,13.99,Kindle
I Want to Die but I Want to Eat Tteokbokki,죽고 싶지만 떡볶이는 먹고 싶어,UNITED KINGDOM,English(English),Baek Sehee,백세희,Anton Hur,N,Bloomsbury Publishing,2022,KDC구분 > literature > Korean Literature > Essay > 21st century,9781526650863,76504.0,3.24,9.99,Kindle
I Want to Die but I Want to Eat Tteokbokki,죽고 싶지만 떡볶이는 먹고 싶어,UNITED STATES,English(English),Baek Sehee,백세희,Anton Hur,N,Bloomsbury USA,2022,KDC구분 > literature > Korean Literature > Essay > 21st century,9781635579383,76504.0,3.24,9.99,Kindle
トゲトゲくんは ね、,가시소년,JAPAN,Japanese(日本語),クォン・ジャギョン,권자경,いくた みほ,N,パイインターナショナル,2021,KDC구분 > literature > Korean Literature > Children and Adolescents,9784756255334,-1.0,-1.0,-1.0,N/A
The Hen Who Dreamed She Could Fly,마당을 나온 암탉,INDONESIA,Indonesian(Bahasa Indonesia),Hwang Sun Mi,황선미,Dwita Rizki,N,BACA,2020,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786026486523,20515.0,3.98,5.99,Kindle
LA VIEILLE DAME AU COUTEAU,파과,FRANCE,French(Français),GU Byeong-mo,구병모,"Véronique Cavallasca,Lee Tae-yeon",Y,Decrescenzo éditeurs,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9782367271071,7714.0,3.51,0.0,Kindle Unlimited
Tên Cô Ấy Là,그녀 이름은,VIET NAM,Vietnamese(Tiếng Việt),Cho Nam-joo,조남주,Văn Ngọc Minh Quyên,N,NXB Hà Nội,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9786045599396,407.0,3.7,-1.0,N/A
הדממה שלך,님의 침묵,ISRAEL,Hebrew(עברית),האן יונג-און,한용운,Uri Kaplan,Y,Prapanca Press,2022,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry > 1910-1945,9789659006717,0.0,0.0,-1.0,N/A
Μάθημα ελληνικών,희랍어 시간,GREECE,Greek(Ελληνική),Χαν Γκανγκ,한강,Αμαλία Τζιώτη,Y,Εκδόσεις Καστανιώτη,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789600370096,25706.0,3.61,5.99,Kindle
VIOLETS,바이올렛,UNITED STATES,English(English),Kyung-sook Shin,신경숙,Anton Hur,Y,The Feminist Press,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9781558612907,3575.0,3.57,9.99,Kindle
H마트에서 울다,Crying in H Mart,SOUTH KOREA,Korean(한국어),미셸 자우너,Michelle Z,정혜윤,N,문학동네,2022,KDC구분 > literature > English and American literatures,9788954683371,520056.0,4.25,13.99,Kindle
わたしの心が傷つかないように,내 마음 다치지 않게,JAPAN,Japanese(日本語),ソルレダ,설레다,李聖和,N,日本実業出版社,2021,KDC구분 > literature > Korean Literature > Essay > 21st century,9784534058577,1.0,5.0,-1.0,N/A
頑張りすぎずに、気楽に,애쓰지 않고 편안하게,JAPAN,Japanese(日本語),キム・スヒョン,김수현,岡崎 暢子,N,ワニブックス,2020,KDC구분 > literature > Korean Literature > Essay > 21st century,9784847099946,1.0,3.0,-1.0,N/A
رجال لا لزوم لهم,잉여인간,EGYPT,Arabic(اللغة العربية),صون تشانغ صوب,손창섭,كونغ جي هيون,Y,دار صفصافة للنشر,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,9789778212501,24.0,2.88,-1.0,N/A
夏のヴィラ,여름의 빌라,JAPAN,Japanese(日本語),ペク・スリン,백수린,カン・バンファ,Y,書肆侃侃房,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784863854994,-1.0,-1.0,-1.0,N/A
የዕንባ ኩሬ,인간문제,ETHIOPIA,Amharic(አማርኛ),ካንግ ኪዮንግኤ,강경애,ኃይለመለኮት ተከስተብርሃን,Y,ሆሄ አሳታሚ,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1910-1945,9789994434879,-1.0,-1.0,-1.0,N/A
それぞれのうしろ姿,사물의 뒷모습,JAPAN,Japanese(日本語),アンギュチョル,안규철,桑畑 優香,N,辰巳出版,2021,KDC구분 > literature > Korean Literature > Essay > 21st century,9784777828708,-1.0,-1.0,-1.0,N/A
VIOLETS,바이올렛,UNITED KINGDOM,English(English),Kyung-Sook Shin,신경숙,Jung Bum Hur,Y,Weidenfeld   Nicolson,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9781474623551,3575.0,3.57,9.99,Kindle
Fiori d&apos;azalea,진달래꽃,ITALY,Italian(Italiano),Kim Sowol,김소월,Imsuk Jung,Y,Orientalia Editrice,2022,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry > 1910-1945,9788896851432,132.0,4.1,-1.0,N/A
Hierba,풀,SPAIN,Spanish(Español),Keum Suk Gendry-Kim,김금숙,Joo Hasun,Y,Penguin Randomhouse,2022,KDC구분 > Social science > Sociology and social problems,9788418052071,15886.0,4.53,10.99,Kindle
Dødens selvbiografi,죽음의 자서전,DENMARK,Danish(Dansk),Kim Hyesoon,김혜순,"Maja Lee Langvad,Karin Jakobsen,Jeuno JE Kim",Y,Terrapolis,2021,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9788797355602,15.0,4.13,-1.0,N/A
Almendra,아몬드,MEXICO,Spanish(Español),Won-Pyung Sohn,손원평,José Manuel Moreno Cidoncha,N,Gran Travesia,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786075573076,151077.0,4.15,7.99,Kindle
