Title,Original Title,Country,Translated Language,Author,Author Name,Translator,Translation and Publication Support,Publisher,Published Year,Classification,ISBN
Shine,샤인,INDONESIA,Indonesian(Bahasa Indonesia),Jessica Jung,제시카 정,Iingliana Tan,N,Gramedia Pustaka Utama,2020,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786020645667
夜よ、ひらけ,"밤이여, 나뉘어라",JAPAN,Japanese(日本語),チョン・ミギョン,정미경,きむ ふな,Y,クオン,2018,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784904855768
風船を買った,풍선을 샀어,JAPAN,Japanese(日本語),チョ・ギョンナン,조경란,吳永雅,Y,クオン,2018,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784904855775
遠足,두번의 자화상,JAPAN,Japanese(日本語),チョン・ソンテ,전성태,小山内 園子,Y,クオン,2018,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784904855782
あの夏の修辞法,사랑을 믿다,JAPAN,Japanese(日本語),ハ・ソンナン,하성란,牧瀬 暁子,Y,クオン,2018,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784904855799
原州通信,갈팡질팡 하다가 내 이럴 줄 알았지,JAPAN,Japanese(日本語),イ・ギホ,이기호,清水 知佐子,Y,クオン,2018,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784904855805
あの人ひとりが この世のすべてだった頃,끝까지 남겨두는 그 마음,JAPAN,Japanese(日本語),ナ・テジュ,나태주,藤田 麗子,N,KADOKAWA,2022,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9784046810076
世の中に悪い人はいない,세상에 나쁜 사람은 없다,JAPAN,Japanese(日本語),ウォン・ジェフン,원재훈,岡崎 暢子,N,KADOKAWA,2022,"KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual)
KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story",9784046812728
ある日、僕が死にました,어느 날 내가 죽었습니다,JAPAN,Japanese(日本語),イ・ギョンヘ,이경혜,小笠原 藤子,N,KADOKAWA,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9784046813015
"Κιμ Τζιγιάνγκ, Γεννημένη το 1982",82년생 김지영,GREECE,Greek(Ελληνική),ΝΑΜ-ΤΖΟΥ ΤΣΟ,조남주,Αλεξάνδρα Κονταξάκη,N,εκδόσεις MINΩAΣ,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786180218312
"Kim Džijongė, gimusi 1982",82년생 김지영,LITHUANIA,Lithuanian(Lietuvių kalba),Cho Nam-joo,조남주,Martynas Šiaučiūnas-Kačinskas,N,Baltos lankos,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786094794209
いいから、あなたの話をしなよ,대한민국 페미니스트의 고백,JAPAN,Japanese(日本語),"キム・ソヨン,チェ・ナロ,アン・ヒョンジン,イ・セア,ホン・","김서영,최나로,안현",大島 史子,Y,アジュマブックス,2022,KDC구분 > literature > Korean Literature > Essay,9784910276045
Solo las mujeres desaparecen,사라지는 건 여자들뿐이거든요,ARGENTINA,Spanish(Español),"Kang Hwagil,Son Bo-mi,Lim Sola","강화길,손보미,임솔","Sunme Yoon,Nicolás Braessas,Park Jeonghyo,Lucía Yamila Fernández Lucero,Sookkyeom Kim,Sosa Rivero Carlos Pedro",Y,Hwarang Editorial,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9789878843278
Tętniące życie,두근두근 내 인생,POLAND,Polish(Polski),Kim Ae-ran,김애란,Lukasz Janik,Y,Kwiaty Orientu,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788366658196
Rüya Dükkânı 1,달러구트 꿈 백화점,TURKIYE,Turkish(Türkçe),Mi-ye Lee,이미예,Tayfun Kartav,Y,Peta Kitap,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786257232302
Please Look After Mother,엄마를 부탁해,UNITED KINGDOM,English(English),Kyung-Sook Shin,신경숙,Chi-Young Kim,N,Weidenfeld   Nicolson,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9781474621687
Pachinko,Pachinko,INDONESIA,Indonesian(Bahasa Indonesia),Min Jin Lee,이민진,Angelic Zaizai,N,Gramedia Pustaka Utama,2022,KDC구분 > literature > English and American literatures,9786020660554
Aku Ingin Pulang Meski Sudah Drumah,집에 있는데도 집에 가고 싶어,INDONESIA,Indonesian(Bahasa Indonesia),Kwon Rabin,권라빈,Dewi Ayu Ambar Rani,N,Haru,2021,KDC구분 > literature > Korean Literature > Essay > 21st century,9786237351825
Every Day is A Sunny Day When I Am with You,구름 껴도 맑음,INDONESIA,Indonesian(Bahasa Indonesia),Bae Sung Tae,배성태,Listya Ayunita Wardadie,N,Gramedia Pustaka Utama,2021,KDC구분 > literature > Korean Literature > Essay > 21st century,9786020651842
Please Look After Mother,엄마를 부탁해,UNITED KINGDOM,English(English),Kyung-Sook Shin,신경숙,Chi-Young Kim,N,Weidenfeld   Nicolson,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9780753828182
I Want to Die but I Want to Eat Tteokbokki,죽고 싶지만 떡볶이는 먹고 싶어,UNITED KINGDOM,English(English),Baek Sehee,백세희,Anton Hur,N,Bloomsbury Publishing,2022,KDC구분 > literature > Korean Literature > Essay > 21st century,9781526650863
I Want to Die but I Want to Eat Tteokbokki,죽고 싶지만 떡볶이는 먹고 싶어,UNITED STATES,English(English),Baek Sehee,백세희,Anton Hur,N,Bloomsbury USA,2022,KDC구분 > literature > Korean Literature > Essay > 21st century,9781635579383
トゲトゲくんは ね、,가시소년,JAPAN,Japanese(日本語),クォン・ジャギョン,권자경,いくた みほ,N,パイインターナショナル,2021,KDC구분 > literature > Korean Literature > Children and Adolescents,9784756255334
The Hen Who Dreamed She Could Fly,마당을 나온 암탉,INDONESIA,Indonesian(Bahasa Indonesia),Hwang Sun Mi,황선미,Dwita Rizki,N,BACA,2020,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786026486523
LA VIEILLE DAME AU COUTEAU,파과,FRANCE,French(Français),GU Byeong-mo,구병모,"Véronique Cavallasca,Lee Tae-yeon",Y,Decrescenzo éditeurs,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9782367271071
Tên Cô Ấy Là,그녀 이름은,VIET NAM,Vietnamese(Tiếng Việt),Cho Nam-joo,조남주,Văn Ngọc Minh Quyên,N,NXB Hà Nội,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9786045599396
הדממה שלך,님의 침묵,ISRAEL,Hebrew(עברית),האן יונג-און,한용운,Uri Kaplan,Y,Prapanca Press,2022,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry > 1910-1945,9789659006717
Μάθημα ελληνικών,희랍어 시간,GREECE,Greek(Ελληνική),Χαν Γκανγκ,한강,Αμαλία Τζιώτη,Y,Εκδόσεις Καστανιώτη,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789600370096
VIOLETS,바이올렛,UNITED STATES,English(English),Kyung-sook Shin,신경숙,Anton Hur,Y,The Feminist Press,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9781558612907
H마트에서 울다,Crying in H Mart,SOUTH KOREA,Korean(한국어),미셸 자우너,Michelle Z,정혜윤,N,문학동네,2022,KDC구분 > literature > English and American literatures,9788954683371
わたしの心が傷つかないように,내 마음 다치지 않게,JAPAN,Japanese(日本語),ソルレダ,설레다,李聖和,N,日本実業出版社,2021,KDC구분 > literature > Korean Literature > Essay > 21st century,9784534058577
頑張りすぎずに、気楽に,애쓰지 않고 편안하게,JAPAN,Japanese(日本語),キム・スヒョン,김수현,岡崎 暢子,N,ワニブックス,2020,KDC구분 > literature > Korean Literature > Essay > 21st century,9784847099946
رجال لا لزوم لهم,잉여인간,EGYPT,Arabic(اللغة العربية),صون تشانغ صوب,손창섭,كونغ جي هيون,Y,دار صفصافة للنشر,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,9789778212501
夏のヴィラ,여름의 빌라,JAPAN,Japanese(日本語),ペク・スリン,백수린,カン・バンファ,Y,書肆侃侃房,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784863854994
የዕንባ ኩሬ,인간문제,ETHIOPIA,Amharic(አማርኛ),ካንግ ኪዮንግኤ,강경애,ኃይለመለኮት ተከስተብርሃን,Y,ሆሄ አሳታሚ,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1910-1945,9789994434879
それぞれのうしろ姿,사물의 뒷모습,JAPAN,Japanese(日本語),アンギュチョル,안규철,桑畑 優香,N,辰巳出版,2021,KDC구분 > literature > Korean Literature > Essay > 21st century,9784777828708
VIOLETS,바이올렛,UNITED KINGDOM,English(English),Kyung-Sook Shin,신경숙,Jung Bum Hur,Y,Weidenfeld   Nicolson,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9781474623551
Fiori d&apos;azalea,진달래꽃,ITALY,Italian(Italiano),Kim Sowol,김소월,Imsuk Jung,Y,Orientalia Editrice,2022,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry > 1910-1945,9788896851432
Hierba,풀,SPAIN,Spanish(Español),Keum Suk Gendry-Kim,김금숙,Joo Hasun,Y,Penguin Randomhouse,2022,KDC구분 > Social science > Sociology and social problems,9788418052071
Dødens selvbiografi,죽음의 자서전,DENMARK,Danish(Dansk),Kim Hyesoon,김혜순,"Maja Lee Langvad,Karin Jakobsen,Jeuno JE Kim",Y,Terrapolis,2021,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9788797355602
Almendra,아몬드,MEXICO,Spanish(Español),Won-Pyung Sohn,손원평,José Manuel Moreno Cidoncha,N,Gran Travesia,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786075573076
そこに私が行ってもいいですか？,"거기, 내가 가면 안 돼요? 1-2",JAPAN,Japanese(日本語),イ・グミ,이금이,神谷丹路,Y,里山社,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784907497163
Écrits du silence,한중록,FRANCE,French(Français),Dame HYEGYEONG,혜경궁 홍씨,"Han Yumi,Hervé Péjaudier",Y,Éditions IMAGO,2022,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9782380890570
Love in the Big City,대도시의 사랑법,GERMANY,German(Deutsch),Sang Young Park,박상영,Jan Henrik Dirks,Y,Suhrkamp Verlag,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9783518472286
Concerning My Daughter,딸에 대하여,UNITED KINGDOM,English(English),Kim Hye-jin,김혜진,Jamie Chang,Y,Pan Macmillan,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9781529057676
鳥は飛ぶのが楽しいか,산 자들,JAPAN,Japanese(日本語),チャン・ガンミョン,장강명,吉良佳奈江,Y,堀之内出版,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784909237552
Crisantemo Blanco,White Chrysanthemum,SPAIN,Spanish(Español),Mary Lynn Bracht,MARY LYNN ,Julio Fuentes Tarín,N,HarperCollins Ibérica S.A.,2019,KDC구분 > literature > English and American literatures,9788491392446
Die Tochter,딸에 대하여,GERMANY,German(Deutsch),Kim Hye-jin,김혜진,Ki-Hyang Lee,Y,Hanser Berlin,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9783446272323
JAB,잽,GERMANY,German(Deutsch),Kim Un-su,김언수,Cho Kyong-hae,Y,Europa,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9783958902466
Fauster,파우스터,GERMANY,German(Deutsch),キム·ホヨン,김호연,Kyong-Hae Flügel,N,Golkonda Verlag,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Mystery >  Thriller >  Horror,9783965090439
BALİNA,고래,TURKIYE,Turkish(Türkçe),CHEON MYEONG-KWAN,천명관,Tayfun Kartav,Y,Lotus Yayincilik Ltd. Sti.,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786257061186
Dobri sin,종의 기원,CROATIA,Croatian(Hrvatski),You-jeong Jeong,정유정,UNA KRIZMANIĆ OŽEGOVIĆ,Y,Hena com,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Detective >  Adventure,9789532593563
I See You Like I See a Flower,꽃을 보듯 너를 본다,PHILIPPINES,English(English),Na Tae Joo,나태주,"Ma. Kristina Carla Rico,Bae Kyung-min",N,Adarna House,2022,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9789715089050
Siapa yang Datang ke Pemakamanku Saat Aku Mati Nanti?,내가 죽으면 장례식에 누가 와줄까,INDONESIA,Indonesian(Bahasa Indonesia),Kim Sang-hyun,김상현,Dewi Ayu Ambar Rani,N,Haru,2020,KDC구분 > literature > Korean Literature > Essay,9786237351542
Bunca Şingayı Kim Yedi?,그 많던 싱아는 누가 다 먹었을까,TURKIYE,Turkish(Türkçe),Park Wansuh,박완서,N. Sezen Güler,Y,Fihrist Kitap,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,9786257599306
SEDM LET TEMNOTY,7년의 밤,CZECH REPUBLIC,Czech(Český Jazyk),Čong Judžong,정유정,Petra Ben -Ari,Y,Host,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788027506781
VIOLETS,바이올렛,INDONESIA,Indonesian(Bahasa Indonesia),Kyung-Sook Shin,신경숙,Iingliana Tan,Y,PT GRAMEDIA PUSTAKA UTAMA,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786020658124
イスラーム精肉店,이슬람 정육점,JAPAN,Japanese(日本語),ソン・ホンギュ,손홍규,橋本 智保,Y,新泉社,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784787721235
Invisible Land of Love,안 보이는 사랑의 나라,UNITED STATES,English(English),Chonggi Mah,마종기,Youngshil Cho,Y,Homa   Sekey Books,2022,KDC구분 > literature > Korean Literature > Korean Poetry,9781622461035
大邱の夜、ソウルの夜,두 여자 이야기,JAPAN,Japanese(日本語),ソン・アラン,송아람,吉良佳奈江,Y,ころから,2022,KDC구분 > literature > Korean Literature > Reportage >  Misc.,9784907239596
На закате,해질 무렵,RUSSIAN FEDERATION,Russian(Русский),Хван Согён,황석영,Мария Кузнецова,Y,ГИПЕРИОН,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9785893323887
راقصة البلاط,리진 1,EGYPT,Arabic(اللغة العربية),كيونغ سوك شين,신경숙,محمد محمد نجيب,Y,الكتب خان,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Romance,9789778031003
Pravo na samouništenje,나는 나를 파괴할 권리가 있다,CROATIA,Croatian(Hrvatski),Kim Young-ha,김영하,"Boris Škvorc,Kim Sang-hun",Y,Fraktura publishing house,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9789533584317
シソンから、,"시선으로부터,",JAPAN,Japanese(日本語),チョン・セラン,정세랑,斎藤 真理子,Y,亜紀書房,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784750517254
Сон. Буддийская проза Кореи,꿈,RUSSIAN FEDERATION,Russian(Русский),"Ли Гвансу,Чо Вихан","이광수,조위한",Аделаида Троцевич,Y,ГИПЕРИОН,2022,KDC구분 > literature > Korean Literature,9785893323856
Wizard Bakery,위저드 베이커리,INDONESIA,Indonesian(Bahasa Indonesia),구병모,구병모,Iingliana Tan,Y,PT GRAMEDIA PUSTAKA UTAMA,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786020657394
Bataty,감자,POLAND,Polish(Polski),Kim Tongin,김동인,Anna Diniejko-Was,Y,Wydawnictwo Akademickie DIALOG,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9788380029392
食卓の上の韓国史,식탁 위의 한국사,JAPAN,Japanese(日本語),周 永河,주영하,丁田 隆,Y,慶應義塾大学出版会,2021,KDC구분 > Social science > Customs >  Etiquette >  Folklore > Food >  clothing and shelter Customs > Food >  Drinks Customs,9784766427844
世界でいちばん弱い妖怪,세상에서 가장 약한 요괴,JAPAN,Japanese(日本語),キム・ドンシク,김동식,吉川凪,Y,小学館,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784093567312
فتاة كتبت العزلة,외딴 방,EGYPT,Arabic(اللغة العربية),كيونغ سوك شين,신경숙,محمد نجيب,Y,دار التنوير,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,9786144721827
No pongas un punto donde Dios puso una coma,좋은지 나쁜지 누가 아는가,SPAIN,Spanish(Español),Shiva Ryu,류시화,Carlos Miranda de las Heras,N,Editorial Diana,2022,KDC구분 > literature > Korean Literature > Essay > 21st century,9788418118968
الكلبة التي تجرأت على الحلم,푸른 개 장발,UNITED ARAB EMIRATES,Arabic(اللغة العربية),صن - مي هوانغ,황선미,زينة إدريس,Y,ثقافة للنشر والتوزيع,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789948471257
паросток,풀,UKRAINE,Ukrainian(Українська),Ґим-Сук Джендрі-Кім,김금숙,Олена Щегель,Y,Видавництво,2021,KDC구분 > Social science > Sociology and social problems,9786177818389
Трава,풀,RUSSIAN FEDERATION,Russian(Русский),Ким-Жандри Кымсук,김금숙,"Екатерина Похолкова,Ро Чжи Юн",Y,Бумкнига,2021,KDC구분 > Social science > Sociology and social problems,9785907305311
Koreyanın yeni və ən yeni tarixinə birgə nəzər,함께 보는 한국근현대사,AZERBAIJAN,Azerbaijani(Azərbaycan dili),역사학연구소,역사학연구소,"Bahar Əliyeva,Zaur Abishov",Y,Qanun Nəşriyyatı,2021,KDC구분 > History > Asia > Korea,9789952380194
最後のライオニ韓国パンデミックＳＦ小説集,팬데믹: 여섯 개의 세계,JAPAN,Japanese(日本語),"キム・チョヨプ,デュナ,チョン・ソヨン,キム・イファン,ペ・","김초엽,듀나,정소연","斎藤 真理子,古川綾子,清水博之",Y,河出書房新社,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9784309208442
Prawo linii,선의 법칙,POLAND,Polish(Polski),Pyun Hye-young,편혜영,"Filip Wisniewski-Danecki,Choi Jeong In",Y,Kwiaty Orientu,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788366658202
愛だけが残る,사랑만이 남는다,JAPAN,Japanese(日本語),ナ・テジュ,나태주,黒河星子,Y,かんき出版,2021,KDC구분 > literature > Korean Literature > Korean Poetry,9784761275785
Der Kartograf,고산자,GERMANY,German(Deutsch),Park Bum Shin,박범신,Albrecht Huwe,Y,EOS Verlag,2021,KDC구분 > literature > Korean Literature,9783830681045
Les Mauvaises herbes,풀,FRANCE,French(Français),KEUM SUK GENDRY-KIM,김금숙,Loïc Gendry,N,DELCOURT,2018,KDC구분 > Social science > Sociology and social problems,9782413003786
Będę tam,어디선가 나를 찾는 전화벨이 울리고,POLAND,Polish(Polski),Kyung-sook Shin,신경숙,Marzena Stefańska-Adams,N,Kwiaty Orientu,2020,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788366658097
Zaopiekuj się moją mamą,엄마를 부탁해,POLAND,Polish(Polski),Shin Kyung-sook,신경숙,"Marzena Stefańska-Adams,Anna Diniejko-Wąs",N,Kwiaty Orientu,2020,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9788366658080
Celui qui revient,소년이 온다,FRANCE,French(Français),Han Kang,한강,"Jeong Eun-Jin,Jacques Batilliot",N,POINTS,2017,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9782757868867
What is Korean literature?,한국문학이란 무엇인가,UNITED STATES,English(English),Kwon Yeongmin,권영민,Ju-Chan Fulton,N,버클리 대학 동아시아 연구소,2020,KDC구분 > literature > Korean Literature,9781557291868
Prenez le temps de vivre,멈추면 비로소 보이는 것들,FRANCE,French(Français),Haemin,혜민,Dominique Piolet-Françoise,N,Marabout,2021,KDC구분 > literature > Korean Literature > Essay > 21st century,9782501161763
你的4分33秒,당신의 4분 33초,TAIWAN,Chinese(繁體),李書修,이서수,謝麗玲,Y,一人出版社,2021,KDC구분 > literature > Korean Literature > Korean Fiction,9789869795180
オルガンのあった場所,신경숙 단편선집,JAPAN,Japanese(日本語),シン・キョンスク,신경숙,きむ ふな,Y,CUON,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,9784910214245
Despre fiica mea,딸에 대하여,ROMANIA,Romanian(Română),Hyejin Kim,김혜진,Virgil-Mihai Țâru,Y,Editura Univers,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789733413141
Iubita fiului meu,내 아들의 연인,ROMANIA,Romanian(Română),Jung Mi Kyung,정미경,Tae Hyun Oum,Y,Editura Univers,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9789733413325
Fresques de Koguryŏ,고구려 회화-고대 한국문화가 그림으로 되살아나다,FRANCE,French(Français),Hwi-Joon AHN,안희준,Ryu Nae-young,Y,Hémisphères Editions,2021,KDC구분 > Arts > Painting,9782377011049
The World&apos;s Lightest Motorcycle,세상에서 가장 가벼운 오토바이,UNITED STATES,English(English),Yi Won,이원,"E. J. Koh,Cancio-Bello,Marci Calabretta",Y,Zephyr Press,2021,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9781938890840
Le goût des choses imparfaites,완벽하지 않은 것들에 대한 사랑,FRANCE,French(Français),Haemin,혜민,,N,Marabout,2019,KDC구분 > literature > Korean Literature > Essay > 21st century,9782501140737
Uncomfortably Happily,불편하고 행복하게,CANADA,English(English),Yeon-sik Hong,홍연식,Hellen Jo,N,Drawn   Quarterly,2017,KDC구분 > literature > Korean Literature,9781770462601
TRAVA,풀,BOSNIA HERCEGOVINA,Bosnian(Bosanski),Keum Suk Gendry-Kim,김금숙,Ji Suk Baek,Y,Agarthi Comics,2021,KDC구분 > Social science > Sociology and social problems,9789958085154
En kule i hjertet,설계자들,NORWAY,Norwegian(Norsk),Ŏn-su Kim,김언수,Jarne Byhre,Y,ASCHEHOUG,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788203269448
日刊イ・スラ　私たちのあいだの話,일간 이슬아 수필집,JAPAN,Japanese(日本語),イ・スラ,이슬아,"宮里綾羽,原田里美",Y,"Asahi Press Co., Ltd.",2021,KDC구분 > literature > Korean Literature > Essay > 21st century,9784255012636
موعد مع أخي,아우와의 만남,SYRIAN ARAB REPUBLIC,Arabic(اللغة العربية),يي مون يول,이문열,طاهر البربري,N,دار نينوى,2016,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9789933536626
موعد مع أخي,아우와의 만남,EGYPT,Arabic(اللغة العربية),يي مون يول,이문열,كيم جونج ميونج,N,المركز القومي للترجمة,2008,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9789774379116
Cold Candies,차가운 사탕들,UNITED STATES,English(English),Lee Young-ju,이영주,Jae Kim,Y,Black Ocean,2021,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9781939568403
Storie d’amore dalla Corea del primo Novecento,한국근대문학선집 1권,ITALY,Italian(Italiano),"YI Sang,Kim Yujeong,Kim Dong-i","이상,김유정,김동인",Benedetta Merlini,Y,Atmosphere Libri,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9788865643839
Το Νεφελώδες Όνειρο Των Εννέα,구운몽,GREECE,Greek(Ελληνική),Κιμ Μαν Τσουνγκ,김만중,Ελένη Κατσιώλη,Y,LEMVOS,2021,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9786185413149
گلهای کاملیا,모란이 피기까지는,IRAN,Persian(فارسی),"کیم یان رنگ,جانگ جی یونگ","김영랑,정지용","هونگ اینجا,سعیدرضا اتحادی",Y,نشر پرنده,2021,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry > 1910-1945,9786008955665
千年の眠り,"천년의 잠, 오세영 시선집",JAPAN,Japanese(日本語),吳世永,오세영,"林陽子,徐載坤",Y,港の人,2021,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual),9784896293982
千個の青,천 개의 파랑,JAPAN,Japanese(日本語),チョン・ソンラン,천선란,カン・バンファ,Y,早川書房,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784152100566
Liefde in de grote stad,대도시의 사랑법,NETHERLANDS,Dutch(Nederlands),Sang Young Park,박상영,Mattho Mandersloot,Y,Das Mag,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789493248069
Los estándares coreanos,카스테라,ARGENTINA,Spanish(Español),Park Min-gyu,박민규,Luis Frailes Álvaro,Y,Hwarang Editorial,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9789878823416
NAMHANSANSEONG. La fortaleza helada,남한산성,SPAIN,Spanish(Español),KIM HOON,김훈,"Álvaro Trigo,Mie Ryoung Gene",Y,Quaterni,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Historical >  Biographical >  Political >  Social,9788412286083
Beginning the End,끝을 시작하기,UNITED STATES,English(English),Kim Keun,김근,Deborah Kim,Y,Asia publishers,2021,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9791156625667
Cave Boys,굴 소년들,UNITED STATES,English(English),Lee Sul-ya,이설야,Brother Anthony of Taize,Y,Asia publishers,2021,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9791156625674
Protiklady,모순,CZECH REPUBLIC,Czech(Český Jazyk),Jang Kü-Dža,양귀자,Miriam Löwensteinová,Y,Nová vlna,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,9788088343233
外国文艺 2021年第4期(韩国当代大奖小说选),소년은 늙지 않는다,CHINA,Chinese(简体),"金劲旭,裵琇我,崔恩榮,姜禾吉,林率兒","김경욱,배수아,최은",,Y,외국문예편집부,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9771006114213
Almond,아몬드,POLAND,Polish(Polski),Sohn Wonpyung,손원평,Urszula Gardner,N,Wydawnictwo Kobiece,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788366967434
Çukur,홀,TURKIYE,Turkish(Türkçe),Pyun Hye-young,편혜영,Tayfun Kartav,Y,DOĞAN KITAP,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786258495058
真夜中のちいさなようせい,한밤중 개미 요정,JAPAN,Japanese(日本語),シン・ソンミ,신선미,清水 知佐子,N,ポプラ社,2021,KDC구분 > literature > Korean Literature > Children and Adolescents,9784591170298
ΕΦΤΑ ΧΡΟΝΙΑ ΣΚΟΤΑΔΙ,7년의 밤,GREECE,Greek(Ελληνική),Jung Yoojung,정유정,Αμαλία Τζιώτη,Y,Metaichmio Publications,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786180326727
Bir Katilin Güncesi,살인자의 기억법,TURKIYE,Turkish(Türkçe),Kim Yeongha,김영하,"Açelya Yavuz,Özlem Gökçe",N,Timaş Yayınları,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786050839142
"Kim Jiyeong, Doğum: 1982",82년생 김지영,TURKIYE,Turkish(Türkçe),Nam-Joo Cho,조남주,Betül Tınkılıç,N,A7 Kitap,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786057667960
Lütfen Anneme İyi Bak,엄마를 부탁해,TURKIYE,Turkish(Türkçe),Shin Kyung-sook,신경숙,Belgin Selen Haktanır,N,DOĞAN KITAP,2011,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9786050901221
